id,title,description,category,difficulty_level,estimated_days,created_at,updated_at,is_template,num_courses,num_sections
171,Intermediate Guide to Running and Supporting a Web App User Community,Custom learning path based on user structure: Intermediate Guide to Running and Supporting a Web App User Community,Building Foundations for Community Management,Intermediate,30,2025-05-03T02:41:47,2025-05-03T02:41:47,False,4,0
172,国内金融专硕考研396学习计划,Custom learning path based on user structure: 国内金融专硕考研396学习计划,Intermediate Mathematics Foundations,Intermediate,30,2025-05-03T02:51:01,2025-05-03T02:51:01,False,5,0
173,Intermediate Graphic Design Mastery,Custom learning path based on user structure: Intermediate Graphic Design Mastery,Advanced Adobe Photoshop Techniques,Intermediate,30,2025-05-03T02:54:15,2025-05-03T02:54:15,False,4,0
174,"Vegetation Modelling for the Last 21,000 Years","Custom learning path based on user structure: Vegetation Modelling for the Last 21,000 Years",Introduction to Vegetation Modelling,Advanced,30,2025-05-03T04:13:24,2025-05-03T04:13:24,False,3,0
175,Intermediate Robotics and AI-Powered Smart Robots,Custom learning path based on user structure: Intermediate Robotics and AI-Powered Smart Robots,Introduction to Smart Robots and Their Components,Intermediate,30,2025-05-03T04:19:50,2025-05-03T04:19:50,False,4,0
176,Intermediate Tableau Mastery,Custom learning path based on user structure: Intermediate Tableau Mastery,Tableau Fundamentals and Interface Mastery,Intermediate,30,2025-05-03T04:23:55,2025-05-03T04:23:55,False,4,0
178,Intermediate Path to Becoming a Skilled Psychological Counselor,Custom learning path based on user structure: Intermediate Path to Becoming a Skilled Psychological Counselor,Foundations of Psychological Counseling,Beginner,30,2025-05-03T04:57:48,2025-05-03T04:57:48,False,4,0
179,AI Self-Learning App Development and UI Design,Custom learning path based on user structure: AI Self-Learning App Development and UI Design,Introduction to AI and Self-Learning Systems,Intermediate,30,2025-05-03T05:00:29,2025-05-03T05:00:29,False,3,0
180,Code Your First Website in 30 Days,Custom learning path based on user structure: Code Your First Website in 30 Days,HTML Fundamentals,beginner,30,2025-05-03T05:11:41,2025-05-03T05:11:41,False,3,9
181,Intermediate Path to Psychiatry,Custom learning path based on user structure: Intermediate Path to Psychiatry,Foundations of Psychiatry,Advanced,30,2025-05-03T05:13:16,2025-05-03T05:13:16,False,3,0
182,Intermediate Machine Learning Roadmap,Custom learning path based on user structure: Intermediate Machine Learning Roadmap,Foundations of Machine Learning,Intermediate,30,2025-05-03T05:15:28,2025-05-03T05:15:28,False,3,0
183,Intermediate Machine Learning Roadmap,Custom learning path based on user structure: Intermediate Machine Learning Roadmap,Foundations of Machine Learning,Intermediate,30,2025-05-03T05:17:10,2025-05-03T05:17:10,False,4,0
184,Intermediate Big Data Analysis - COMP4434 Revision,Custom learning path based on user structure: Intermediate Big Data Analysis - COMP4434 Revision,Introduction to Big Data Concepts,Advanced,30,2025-05-03T05:19:44,2025-05-03T05:19:44,False,4,0
185,甘肃省事业单位联考C类学习路径,Custom learning path based on user structure: 甘肃省事业单位联考C类学习路径,职业能力倾向测验全面掌握,Intermediate,30,2025-05-03T05:20:47,2025-05-03T05:20:47,False,2,0
186,Intermediate Critical Thinking Mastery,Custom learning path based on user structure: Intermediate Critical Thinking Mastery,Foundations of Critical Thinking,Beginner,30,2025-05-03T05:44:17,2025-05-03T05:44:17,False,3,0
187,Intermediate 3D Modeling Mastery,Custom learning path based on user structure: Intermediate 3D Modeling Mastery,Foundations of 3D Modeling,Intermediate,30,2025-05-03T05:45:00,2025-05-03T05:45:00,False,3,0
188,Mastering Interior Plot Design,Custom learning path based on user structure: Mastering Interior Plot Design,Foundations of Interior Plot Design,Intermediate,30,2025-05-03T05:52:09,2025-05-03T05:52:09,False,3,0
189,Intermediate Novel Writing Mastery,Custom learning path based on user structure: Intermediate Novel Writing Mastery,Mastering Story Structure,Intermediate,30,2025-05-03T06:13:20,2025-05-03T06:13:20,False,4,0
190,提升小说外貌描写技巧的30天学习计划,Custom learning path based on user structure: 提升小说外貌描写技巧的30天学习计划,外貌描写基础与审美意识培养,Beginner,30,2025-05-03T07:05:22,2025-05-03T07:05:22,False,3,0
191,如何高效读一本书,Custom learning path based on user structure: 如何高效读一本书,理解高效阅读的核心原则,Intermediate,30,2025-05-03T07:16:13,2025-05-03T07:16:13,False,3,0
192,Intermediate Machine Learning Roadmap,Custom learning path based on user structure: Intermediate Machine Learning Roadmap,Mathematics for Machine Learning,Beginner,30,2025-05-03T07:41:05,2025-05-03T07:41:05,False,4,0
193,Intermediate IGCSE AS Level Maths Mastery,Custom learning path based on user structure: Intermediate IGCSE AS Level Maths Mastery,Foundations of Algebra and Functions,Intermediate,30,2025-05-03T07:42:04,2025-05-03T07:42:04,False,4,0
194,"CTE4 Exam Preparation: Listening, Reading, Writing, and Translation","Custom learning path based on user structure: CTE4 Exam Preparation: Listening, Reading, Writing, and Translation",Listening Skills for CTE4,Intermediate,30,2025-05-03T07:47:43,2025-05-03T07:47:43,False,4,0
195,初中高中理科知识学习计划,Custom learning path based on user structure: 初中高中理科知识学习计划,物理基础理论与应用,Advanced,30,2025-05-03T08:00:50,2025-05-03T08:00:50,False,4,0
196,初中高中理科知识学习计划,Custom learning path based on user structure: 初中高中理科知识学习计划,物理基础理论与应用,Advanced,30,2025-05-03T08:02:22,2025-05-03T08:02:22,False,4,0
197,Intermediate Lisp Programming in 30 Days,Custom learning path based on user structure: Intermediate Lisp Programming in 30 Days,Lisp Fundamentals Review,Intermediate,30,2025-05-03T11:44:02,2025-05-03T11:44:02,False,4,0
198,四轴无人飞行器中级学习路径,Custom learning path based on user structure: 四轴无人飞行器中级学习路径,四轴无人飞行器基础知识与原理,Beginner,30,2025-05-03T12:52:31,2025-05-03T12:52:31,False,3,0
199,Intermediate Java Programming for Project-Based Employment,Custom learning path based on user structure: Intermediate Java Programming for Project-Based Employment,Advanced Object-Oriented Programming in Java,Intermediate,30,2025-05-03T14:06:32,2025-05-03T14:06:32,False,4,0
200,Intermediate French Basics in 30 Days,Custom learning path based on user structure: Intermediate French Basics in 30 Days,French Pronunciation and Basic Grammar,Beginner,30,2025-05-03T15:01:23,2025-05-03T15:01:23,False,3,0
201,30-Day Python Programming Journey for Beginners,Custom learning path based on user structure: 30-Day Python Programming Journey for Beginners,Python基础与核心概念,Beginner,30,2025-05-03T15:11:15,2025-05-03T15:11:15,False,3,0
202,英语听力与口语模块提升计划,Custom learning path based on user structure: 英语听力与口语模块提升计划,听力技巧与理解,Advanced,30,2025-05-03T15:23:10,2025-05-03T15:23:10,False,3,0
205,Beginner's Guide to Python Programming,Custom learning path based on user structure: Beginner's Guide to Python Programming,Introduction to Python,Beginner,30,2025-05-04T01:24:38,2025-05-04T01:24:38,False,4,0
206,Intermediate Quantum Physics Mastery,Custom learning path based on user structure: Intermediate Quantum Physics Mastery,Foundations of Quantum Physics,Intermediate,30,2025-05-04T01:28:52,2025-05-04T01:28:52,False,4,0
207,Think Clearer: Mental Models for Life,Custom learning path based on user structure: Think Clearer: Mental Models for Life,Introduction to Mental Models,beginner,30,2025-05-04T01:49:05,2025-05-04T01:49:05,False,3,9
208,Build Better Habits in 21 Days,Custom learning path based on user structure: Build Better Habits in 21 Days,Habit Foundations,beginner,30,2025-05-04T01:49:40,2025-05-04T01:49:40,False,3,9
209,Intermediate Journey to 开始吧,Custom learning path based on user structure: Intermediate Journey to 开始吧,Foundations of 开始吧,Intermediate,30,2025-05-04T05:26:19,2025-05-04T05:26:19,False,3,0
210,Intermediate Machine Learning Mastery,Custom learning path based on user structure: Intermediate Machine Learning Mastery,Foundations of Machine Learning,Beginner,30,2025-05-04T05:30:07,2025-05-04T05:30:07,False,3,0
211,Speak with Confidence: English for Real Life,Custom learning path based on user structure: Speak with Confidence: English for Real Life,Everyday Conversations,beginner,30,2025-05-04T07:20:50,2025-05-04T07:20:50,False,3,9
213,Think Clearer: Mental Models for Life,Custom learning path based on user structure: Think Clearer: Mental Models for Life,Introduction to Mental Models,beginner,30,2025-05-04T08:19:12,2025-05-04T08:19:12,False,3,9
214,Beginner's Guide to Korean Language,Custom learning path based on user structure: Beginner's Guide to Korean Language,Introduction to Hangul,Beginner,15,2025-05-04T08:31:29,2025-05-04T08:31:29,False,3,0
215,生物信息学入门：数据可视化学习路径,Custom learning path based on user structure: 生物信息学入门：数据可视化学习路径,生物信息学可视化基础工具,Beginner,30,2025-05-04T09:59:11,2025-05-04T09:59:11,False,3,0
218,Intermediate Chord Mastery,Custom learning path based on user structure: Intermediate Chord Mastery,Understanding Chord Structures,Intermediate,30,2025-05-04T12:06:10,2025-05-04T12:06:10,False,3,0
219,30-Day Intermediate IELTS Preparation,Custom learning path based on user structure: 30-Day Intermediate IELTS Preparation,Mastering IELTS Listening,Advanced,30,2025-05-04T13:32:46,2025-05-04T13:32:46,False,4,0
220,初级学习路径：C语言与绘画技能,Custom learning path based on user structure: 初级学习路径：C语言与绘画技能,C语言基础入门,Beginner,30,2025-05-04T14:55:23,2025-05-04T14:55:23,False,3,0
224,Intermediate IoT Hardware Development,Custom learning path based on user structure: Intermediate IoT Hardware Development,Introduction to IoT Hardware,Beginner,30,2025-05-04T17:09:55,2025-05-04T17:09:55,False,3,0
227,Intermediate Critical Thinking Mastery,Custom learning path based on user structure: Intermediate Critical Thinking Mastery,Foundations of Critical Thinking,Advanced,30,2025-05-04T19:04:06,2025-05-04T19:04:06,False,3,0
229,Intermediate Learning Path to Agentic RAG,Custom learning path based on user structure: Intermediate Learning Path to Agentic RAG,Foundations of Agentic RAG,Advanced,30,2025-05-04T22:59:14,2025-05-04T22:59:14,False,3,0
230,Intermediate English Learning Path,Custom learning path based on user structure: Intermediate English Learning Path,Building Intermediate Vocabulary,Intermediate,30,2025-05-05T01:05:28,2025-05-05T01:05:28,False,4,0
231,Mastering TOEFL Speaking and Writing Skills,Custom learning path based on user structure: Mastering TOEFL Speaking and Writing Skills,TOEFL Speaking Essentials,Intermediate,30,2025-05-05T01:30:18,2025-05-05T01:30:18,False,4,0
232,Intermediate Critical Thinking Mastery,Custom learning path based on user structure: Intermediate Critical Thinking Mastery,Foundations of Critical Thinking,Intermediate,30,2025-05-05T01:35:34,2025-05-05T01:35:34,False,3,0
233,Intermediate Node.js: From Frontend to Backend,Custom learning path based on user structure: Intermediate Node.js: From Frontend to Backend,Introduction to Node.js and Environment Setup,Intermediate,30,2025-05-05T09:33:20,2025-05-05T09:33:20,False,4,0
234,Intermediate Machine Learning Roadmap,Custom learning path based on user structure: Intermediate Machine Learning Roadmap,Fundamentals of Machine Learning,Intermediate,30,2025-05-05T11:59:11,2025-05-05T11:59:11,False,3,0
236,30-Day French A2 Mastery,Custom learning path based on user structure: 30-Day French A2 Mastery,Essential French Grammar and Vocabulary,Intermediate,30,2025-05-05T12:33:34,2025-05-05T12:33:34,False,4,0
237,Intermediate Deutsch Mastery,Custom learning path based on user structure: Intermediate Deutsch Mastery,Decoding Everyday German Expressions,Intermediate,30,2025-05-05T14:56:25,2025-05-05T14:56:25,False,5,0
238,Intermediate Web Development: Build Your Own Website,Custom learning path based on user structure: Intermediate Web Development: Build Your Own Website,"HTML, CSS, and Responsive Design",Beginner,30,2025-05-05T15:56:00,2025-05-05T15:56:00,False,4,0
239,Intermediate HTML Mastery in 30 Days,Custom learning path based on user structure: Intermediate HTML Mastery in 30 Days,HTML Fundamentals Review,Intermediate,30,2025-05-05T16:03:24,2025-05-05T16:03:24,False,4,0
240,Planning Your Dream Trip to Hawaii's Big Island,Custom learning path based on user structure: Planning Your Dream Trip to Hawaii's Big Island,Understanding the Big Island,Intermediate,30,2025-05-05T22:48:00,2025-05-05T22:48:00,False,4,0
241,Exploring the Relationship Between National Strategies and University Student Development,Custom learning path based on user structure: Exploring the Relationship Between National Strategies and University Student Development,"Understanding National Strategies: Science, Talent, and Innovation",Advanced,30,2025-05-06T00:13:26,2025-05-06T00:13:26,False,3,0
242,Intermediate Python Mastery,Custom learning path based on user structure: Intermediate Python Mastery,Advanced Python Fundamentals,Intermediate,30,2025-05-06T01:13:28,2025-05-06T01:13:28,False,4,0
243,Intermediate Discourse Analysis & ChatUI Development,Custom learning path based on user structure: Intermediate Discourse Analysis & ChatUI Development,Foundations of Discourse Analysis,Intermediate,30,2025-05-06T03:14:46,2025-05-06T03:14:46,False,4,0
245,Fundamentals of Physics: Intermediate Learning Path,Custom learning path based on user structure: Fundamentals of Physics: Intermediate Learning Path,Electricity Essentials,Advanced,30,2025-05-06T07:30:55,2025-05-06T07:30:55,False,4,0
246,Intermediate Design Thinking Mastery,Custom learning path based on user structure: Intermediate Design Thinking Mastery,Understanding Design Thinking Frameworks,Beginner,30,2025-05-07T02:38:42,2025-05-07T02:38:42,False,4,0
247,Intermediate Machine Learning Roadmap,Custom learning path based on user structure: Intermediate Machine Learning Roadmap,Foundations of Machine Learning,Beginner,30,2025-05-07T02:40:45,2025-05-07T02:40:45,False,4,0
248,IELTS Mastery: Achieving Band 8 in 30 Days,Custom learning path based on user structure: IELTS Mastery: Achieving Band 8 in 30 Days,Understanding IELTS Format and Strategies,Intermediate,30,2025-05-07T04:30:58,2025-05-07T04:30:58,False,4,0
249,Intermediate Sculpture Mastery,Custom learning path based on user structure: Intermediate Sculpture Mastery,Intermediate Sculpture Techniques: Exploring Form and Texture,Beginner,30,2025-05-07T04:53:24,2025-05-07T04:53:24,False,5,0
250,Intermediate Quantum Physics Exploration,Custom learning path based on user structure: Intermediate Quantum Physics Exploration,Foundations of Quantum Mechanics,Intermediate,30,2025-05-07T06:47:16,2025-05-07T06:47:16,False,3,0
251,Intermediate Guide to Meridians Tapping for Health Preservation,Custom learning path based on user structure: Intermediate Guide to Meridians Tapping for Health Preservation,Introduction to Meridian Theory in Traditional Chinese Medicine,Intermediate,30,2025-05-07T07:32:42,2025-05-07T07:32:42,False,4,0
252,Intermediate Tableau Mastery,Custom learning path based on user structure: Intermediate Tableau Mastery,Advanced Tableau Fundamentals,Intermediate,30,2025-05-07T11:25:43,2025-05-07T11:25:43,False,3,0
253,如何有效背法條,Custom learning path based on user structure: 如何有效背法條,法條記憶基礎技巧,Intermediate,30,2025-05-07T15:29:57,2025-05-07T15:29:57,False,3,0
254,"Intermediate Web Development: HTML, CSS, and JavaScript","Custom learning path based on user structure: Intermediate Web Development: HTML, CSS, and JavaScript",Introduction to HTML,Beginner,30,2025-05-07T16:33:21,2025-05-07T16:33:21,False,4,0
255,Beginner's Dutch: A1 Level Mastery in 30 Days,Custom learning path based on user structure: Beginner's Dutch: A1 Level Mastery in 30 Days,Introduction to Dutch Language,Intermediate,30,2025-05-07T17:29:18,2025-05-07T17:29:18,False,4,0
